ratio_variant,data_quantity_min,layer_thr,msw_thr,x,n_rows,pct_no_snow,pct_ground,pct_both,accuracy
exclude_nans,10,10,10,1.0,910,59.78021978021978,25.934065934065938,14.285714285714285,0.9351648351648352
exclude_nans,10,10,10,1.05,894,59.172259507829985,26.286353467561526,14.541387024608502,0.9351230425055929
exclude_nans,10,10,10,1.1,884,58.93665158371041,26.35746606334842,14.705882352941178,0.9366515837104072
exclude_nans,10,10,10,1.15,867,58.36216839677048,26.643598615916954,14.994232987312571,0.936562860438293
exclude_nans,10,10,10,1.2,854,57.96252927400468,26.93208430913349,15.105386416861826,0.936768149882904
exclude_nans,10,10,10,1.25,842,57.36342042755345,27.315914489311165,15.320665083135394,0.9358669833729216
exclude_nans,10,10,10,1.3,824,56.79611650485437,27.791262135922327,15.4126213592233,0.9405339805825242
exclude_nans,10,10,10,1.35,809,56.118665018541414,28.182941903584673,15.698393077873918,0.9406674907292955
exclude_nans,10,10,10,1.4,790,55.18987341772152,28.73417721518987,16.075949367088608,0.9329113924050633
exclude_nans,10,10,10,1.45,771,54.08560311284047,29.442282749675748,16.472114137483786,0.9364461738002594
exclude_nans,10,10,10,1.5,751,53.12916111850865,29.96005326231691,16.910785619174433,0.9307589880159787
exclude_nans,10,10,10,1.55,731,52.1203830369357,30.506155950752394,17.373461012311903,0.9288645690834473
exclude_nans,10,10,10,1.6,708,51.271186440677965,30.93220338983051,17.796610169491526,0.9265536723163842
exclude_nans,10,10,10,1.65,680,49.26470588235294,32.20588235294118,18.529411764705884,0.9264705882352942
exclude_nans,10,10,10,1.7,653,47.32006125574272,33.537519142419605,19.142419601837673,0.9249617151607963
exclude_nans,10,10,10,1.75,623,45.26484751203853,34.831460674157306,19.903691813804173,0.9293739967897271
exclude_nans,10,10,10,1.8,594,43.26599326599327,36.02693602693603,20.707070707070706,0.9276094276094277
exclude_nans,10,10,10,1.85,568,41.021126760563384,37.32394366197183,21.654929577464788,0.9172535211267606
exclude_nans,10,10,10,1.9,538,38.28996282527881,39.21933085501858,22.490706319702603,0.9070631970260223
exclude_nans,10,10,10,1.95,515,35.92233009708738,40.58252427184466,23.495145631067963,0.9048543689320389
exclude_nans,10,10,10,2.0,499,34.2685370741483,41.48296593186373,24.248496993987974,0.9098196392785571
exclude_nans,11,10,10,1.0,906,59.82339955849889,26.048565121412803,14.1280353200883,0.934878587196468
exclude_nans,11,10,10,1.05,891,59.25925925925925,26.374859708193043,14.365881032547701,0.9349046015712682
exclude_nans,11,10,10,1.1,881,59.02383654937571,26.4472190692395,14.52894438138479,0.9353007945516458
exclude_nans,11,10,10,1.15,864,58.44907407407407,26.73611111111111,14.814814814814813,0.9386574074074074
exclude_nans,11,10,10,1.2,851,58.049353701527615,27.027027027027028,14.923619271445359,0.9388954171562868
exclude_nans,11,10,10,1.25,839,57.44934445768772,27.413587604290825,15.137067938021453,0.9380214541120382
exclude_nans,11,10,10,1.3,821,56.881851400730824,27.892813641900123,15.225334957369064,0.9415347137637028
exclude_nans,11,10,10,1.35,806,56.203473945409435,28.287841191067,15.508684863523573,0.9416873449131513
exclude_nans,11,10,10,1.4,787,55.27318932655655,28.843710292249046,15.88310038119441,0.9339263024142312
exclude_nans,11,10,10,1.45,768,54.166666666666664,29.557291666666668,16.276041666666664,0.9348958333333334
exclude_nans,11,10,10,1.5,748,53.20855614973262,30.080213903743314,16.711229946524064,0.929144385026738
exclude_nans,11,10,10,1.55,729,52.2633744855967,30.589849108367627,17.146776406035666,0.9272976680384087
exclude_nans,11,10,10,1.6,707,51.34370579915134,30.975954738330973,17.68033946251768,0.9278642149929278
exclude_nans,11,10,10,1.65,679,49.337260677466865,32.253313696612665,18.409425625920473,0.9263622974963182
exclude_nans,11,10,10,1.7,652,47.392638036809814,33.58895705521473,19.018404907975462,0.9248466257668712
exclude_nans,11,10,10,1.75,622,45.337620578778136,34.88745980707396,19.774919614147908,0.9292604501607717
exclude_nans,11,10,10,1.8,593,43.3389544688027,36.08768971332209,20.57335581787521,0.9308600337268128
exclude_nans,11,10,10,1.85,567,41.09347442680776,37.38977072310406,21.516754850088184,0.9223985890652557
exclude_nans,11,10,10,1.9,537,38.361266294227185,39.29236499068901,22.3463687150838,0.9143389199255121
exclude_nans,11,10,10,1.95,514,35.992217898832685,40.66147859922179,23.346303501945524,0.9105058365758755
exclude_nans,11,10,10,2.0,498,34.33734939759036,41.566265060240966,24.096385542168676,0.9156626506024096
exclude_nans,12,10,10,1.0,899,60.06674082313682,25.806451612903224,14.126807563959956,0.9365962180200222
exclude_nans,12,10,10,1.05,884,59.502262443438916,26.131221719457017,14.366515837104071,0.9355203619909502
exclude_nans,12,10,10,1.1,874,59.26773455377574,26.20137299771167,14.530892448512587,0.9347826086956522
exclude_nans,12,10,10,1.15,857,58.69311551925321,26.487747957992998,14.819136522753793,0.9393232205367561
exclude_nans,12,10,10,1.2,844,58.29383886255924,26.77725118483412,14.928909952606634,0.9383886255924171
exclude_nans,12,10,10,1.25,832,57.692307692307686,27.163461538461537,15.144230769230768,0.9375
exclude_nans,12,10,10,1.3,814,57.125307125307124,27.64127764127764,15.233415233415235,0.9422604422604423
exclude_nans,12,10,10,1.35,799,56.44555694618273,28.035043804755944,15.519399249061328,0.9424280350438048
exclude_nans,12,10,10,1.4,780,55.51282051282052,28.589743589743588,15.897435897435896,0.9333333333333333
exclude_nans,12,10,10,1.45,761,54.402102496714846,29.303547963206306,16.29434954007884,0.9316688567674113
exclude_nans,12,10,10,1.5,741,53.441295546558706,29.82456140350877,16.734143049932523,0.9298245614035088
exclude_nans,12,10,10,1.55,722,52.49307479224377,30.332409972299168,17.174515235457065,0.9279778393351801
exclude_nans,12,10,10,1.6,701,51.497860199714694,30.813124108416545,17.68901569186876,0.9300998573466477
exclude_nans,12,10,10,1.65,673,49.47994056463596,32.09509658246657,18.424962852897476,0.9271916790490342
exclude_nans,12,10,10,1.7,646,47.523219814241486,33.43653250773993,19.040247678018577,0.9241486068111455
exclude_nans,12,10,10,1.75,616,45.45454545454545,34.74025974025974,19.805194805194805,0.926948051948052
exclude_nans,12,10,10,1.8,588,43.53741496598639,35.8843537414966,20.578231292517007,0.9285714285714286
exclude_nans,12,10,10,1.85,562,41.281138790035584,37.18861209964413,21.530249110320284,0.9217081850533808
exclude_nans,12,10,10,1.9,532,38.53383458646616,39.097744360902254,22.36842105263158,0.9116541353383458
exclude_nans,12,10,10,1.95,509,36.14931237721022,40.47151277013752,23.37917485265226,0.9096267190569745
exclude_nans,12,10,10,2.0,493,34.48275862068966,41.37931034482759,24.137931034482758,0.9148073022312373
exclude_nans,13,10,10,1.0,892,60.2017937219731,25.784753363228702,14.013452914798204,0.9394618834080718
exclude_nans,13,10,10,1.05,877,59.635119726339795,26.111744583808438,14.253135689851767,0.9395667046750285
exclude_nans,13,10,10,1.1,868,59.44700460829493,26.152073732718893,14.400921658986174,0.9412442396313364
exclude_nans,13,10,10,1.15,851,58.871915393654525,26.439482961222094,14.688601645123384,0.9424206815511164
exclude_nans,13,10,10,1.2,838,58.47255369928401,26.730310262529834,14.797136038186157,0.9439140811455847
exclude_nans,13,10,10,1.25,826,57.869249394673126,27.11864406779661,15.012106537530268,0.9430992736077481
exclude_nans,13,10,10,1.3,809,57.354758961681085,27.564894932014834,15.080346106304079,0.9406674907292955
exclude_nans,13,10,10,1.35,794,56.67506297229219,27.95969773299748,15.365239294710328,0.9395465994962217
exclude_nans,13,10,10,1.4,775,55.74193548387096,28.516129032258064,15.741935483870966,0.9354838709677419
